Region,SurveyYear,Antenatal care from a skilled provider,Assistance during delivery from a skilled provider,No antenatal care,Place of delivery: Health facility,Age specific fertility rate: 15-19,General fertility rate,Total fertility rate 15-49
..Northeast,2022,95.6,83.4,4.3,82.6,121.0,223.0,6.6
Ahafo,1988,88.3,48.6,11.0,,149.0,255.0,7.6
Ahafo,1993,89.9,55.0,9.6,53.1,107.0,165.0,4.7
Ahafo,1998,95.8,52.5,3.3,51.7,93.0,171.0,5.2
Ahafo,2003,95.9,55.1,1.5,53.4,102.0,164.0,4.8
Ahafo,2008,96.6,66.0,2.5,65.0,97.0,144.0,4.1
Ahafo,2014,98.6,79.6,1.4,79.2,105.0,161.0,4.8
Ahafo,2016,97.5,,2.5,,102.0,149.0,4.3
Ahafo,2019,98.8,,1.2,,99.0,157.0,4.5
Ahafo,2022,98.8,88.8,0.9,87.7,65.0,140.0,4.2
Ashanti,1988,92.4,53.0,4.7,,117.0,209.0,6.3
Ashanti,1993,91.0,55.5,7.9,53.0,154.0,194.0,5.4
Ashanti,1998,95.8,57.7,4.2,56.7,121.0,171.0,4.9
Ashanti,2003,94.4,61.1,4.2,61.7,58.0,135.0,4.1
Ashanti,2008,97.4,74.1,1.9,71.4,43.0,121.0,3.6
Ashanti,2014,98.7,89.2,1.3,88.4,73.0,140.0,4.2
Ashanti,2016,97.7,,2.3,,61.0,144.0,3.9
Ashanti,2019,100.0,,0.0,,82.0,119.0,3.5
Ashanti,2022,100.0,92.8,0.0,91.3,62.0,118.0,3.5
Bono,2022,98.6,91.2,0.9,89.7,36.0,119.0,3.7
Central,1988,78.2,31.3,14.2,,171.0,231.0,6.6
Central,1993,86.1,38.1,13.0,35.5,124.0,188.0,5.4
Central,1998,92.0,42.9,6.2,40.7,99.0,158.0,4.7
Central,2003,95.0,34.0,4.0,33.2,121.0,166.0,5.0
Central,2008,93.1,56.7,3.8,54.6,104.0,174.0,5.4
Central,2014,97.5,71.5,2.5,70.6,98.0,163.0,4.7
Central,2016,96.7,,3.3,,113.0,139.0,4.0
Central,2019,97.9,,2.1,,99.0,136.0,3.9
Central,2022,98.6,84.0,0.9,82.5,60.0,122.0,3.6
Eastern,1988,88.2,37.1,2.9,,129.0,209.0,6.0
Eastern,1993,89.1,55.5,5.9,55.5,134.0,176.0,5.0
Eastern,1998,91.6,46.5,6.6,46.5,106.0,160.0,4.5
Eastern,2003,91.5,46.1,5.5,42.5,74.0,138.0,4.3
Eastern,2008,94.7,61.3,4.0,59.9,83.0,126.0,3.6
Eastern,2014,95.7,68.9,3.9,69.3,98.0,143.0,4.2
Eastern,2016,96.2,,2.9,,58.0,120.0,3.6
Eastern,2019,99.3,,0.7,,59.0,111.0,3.3
Eastern,2022,99.2,90.1,0.4,89.2,65.0,118.0,3.5
Greater Accra,1988,91.6,69.7,5.7,,86.0,159.0,4.7
Greater Accra,1993,95.6,79.9,3.9,79.4,69.0,119.0,3.4
Greater Accra,1998,93.2,72.8,6.8,75.1,48.0,98.0,2.7
Greater Accra,2003,96.5,81.7,3.0,80.1,37.0,91.0,2.9
Greater Accra,2008,94.2,83.2,2.8,82.5,29.0,89.0,2.5
Greater Accra,2014,98.1,95.4,1.9,95.2,30.0,103.0,2.8
Greater Accra,2016,96.3,,3.7,,47.0,121.0,3.3
Greater Accra,2019,99.2,,0.8,,33.0,96.0,2.7
Greater Accra,2022,95.8,92.3,4.2,91.3,39.0,101.0,2.9
Northern,1988,53.7,14.4,43.8,,93.0,235.0,6.9
Northern,1993,73.2,17.5,25.4,16.3,115.0,203.0,6.0
Northern,1998,74.8,16.5,18.9,15.6,81.0,181.0,5.4
Northern,2003,84.6,22.4,14.8,20.7,82.0,196.0,6.0
Northern,2008,96.0,35.4,3.3,35.0,82.0,185.0,5.7
Northern,2014,93.9,53.4,5.7,52.8,82.0,195.0,5.9
Northern,2016,99.1,,0.9,,82.0,191.0,5.9
Northern,2019,94.1,,3.6,,92.0,176.0,5.2
Northern,2022,96.7,80.7,3.0,79.6,81.0,181.0,5.4
Oti,2022,97.1,69.5,2.0,66.8,73.0,171.0,5.2
Savannah,2022,95.9,73.1,4.1,71.0,116.0,196.0,5.8
Upper East,1993,85.1,18.2,14.2,16.2,,194.0,5.7
Upper East,1998,78.0,19.1,10.5,18.2,42.0,145.0,4.4
Upper East,2003,85.3,28.6,14.4,26.0,83.0,155.0,4.7
Upper East,2008,95.3,51.8,4.7,51.3,64.0,139.0,4.1
Upper East,2014,98.7,89.3,1.3,89.0,71.0,157.0,4.9
Upper East,2016,99.3,,0.7,,57.0,135.0,4.2
Upper East,2019,99.6,,0.4,,86.0,147.0,4.4
Upper East,2022,99.2,98.3,0.8,97.7,70.0,162.0,4.6
Upper West,1993,74.6,22.1,25.4,22.1,,186.0,5.2
Upper West,1998,70.6,24.2,27.5,24.7,74.0,194.0,5.9
Upper West,2003,91.9,35.5,7.6,35.5,68.0,178.0,5.5
Upper West,2008,97.0,51.1,3.0,49.9,70.0,158.0,5.0
Upper West,2014,98.7,69.8,1.3,69.9,70.0,167.0,5.2
Upper West,2016,96.7,,3.3,,42.0,139.0,4.3
Upper West,2019,97.0,,3.0,,90.0,144.0,4.3
Upper West,2022,98.4,91.7,0.7,92.8,57.0,150.0,4.5
Volta,1988,80.7,32.4,15.5,,141.0,237.0,7.2
Volta,1993,85.8,34.3,12.8,33.5,71.0,183.0,5.4
Volta,1998,82.8,33.8,16.6,32.6,80.0,147.0,4.3
Volta,2003,89.0,47.1,9.8,47.3,103.0,147.0,4.4
Volta,2008,93.2,55.0,6.8,55.0,79.0,130.0,3.8
Volta,2014,94.2,70.5,5.4,69.8,107.0,146.0,4.3
Volta,2016,95.0,,5.0,,68.0,145.0,4.2
Volta,2019,94.6,,5.4,,90.0,141.0,4.1
Volta,2022,98.3,82.1,1.2,79.1,54.0,130.0,3.9
Western,1988,92.0,41.9,4.5,,134.0,219.0,6.4
Western,1993,87.1,39.3,11.1,35.9,150.0,189.0,5.4
Western,1998,90.0,41.7,8.9,40.8,87.0,152.0,4.3
Western,2003,95.5,37.4,3.2,34.0,76.0,150.0,4.5
Western,2008,95.2,61.8,4.8,57.5,58.0,139.0,4.2
Western,2014,99.0,76.4,1.0,75.7,63.0,128.0,3.6
Western,2016,96.6,,3.4,,94.0,145.0,4.3
Western,2019,97.2,,2.8,,94.0,134.0,3.9
Western,2022,95.2,86.6,2.8,85.3,70.0,129.0,3.7
